Index,Station code,Station name,اسم المحطة,Metro line number,Station type code,Station type,نوع المحطة,Geographical coordinates,Comments,تعليقات,Stations Sequence,geo_point_2d
96,3A2,Tuwaiq,طويق,3,1,Elevated,مرتفع,"{""coordinates"": [46.56190383360955, 24.58532648766099], ""type"": ""Point""}",,,42,"24.58532648766099, 46.56190383360955"
99,3B2,Western Station,الغربية,3,1,Elevated,مرتفع,"{""coordinates"": [46.61438544942218, 24.58248496741372], ""type"": ""Point""}",,,44,"24.58248496741372, 46.61438544942218"
88,3D1,Sultanah,سلطانه,3,1,Elevated,مرتفع,"{""coordinates"": [46.6861039999333, 24.61481195473457], ""type"": ""Point""}",,,47,"24.61481195473457, 46.6861039999333"
38,3E1,Courts Complex,مجمع المحاكم,3,4,Deep Underground,تحت الأرض على عمق كبير,"{""coordinates"": [46.71242068810995, 24.62696585808965], ""type"": ""Point""}",,,49,"24.62696585808965, 46.71242068810995"
33,3E5,As Salhiyah,الصالحية,3,4,Deep Underground,تحت الأرض على عمق كبير,"{""coordinates"": [46.73192914145916, 24.63722864945175], ""type"": ""Point""}",,,53,"24.63722864945175, 46.73192914145916"
79,3F1,Railway,سكة الحديد,3,4,Deep Underground,تحت الأرض على عمق كبير,"{""coordinates"": [46.74124333488783, 24.64923336622137], ""type"": ""Point""}",,,55,"24.64923336622137, 46.74124333488783"
20,3G2,Al Rajhi Grand Mosque,جامع الراجحي,3,1,Elevated,مرتفع,"{""coordinates"": [46.77849737862974, 24.67971156503735], ""type"": ""Point""}",,,58,"24.67971156503735, 46.77849737862974"
44,3H1,Harun Ar Rashid Road,طريق هارون الرشيد,3,3,Shallow Underground,تحت الأرض على عمق ضحل,"{""coordinates"": [46.79601710504106, 24.68608501392891], ""type"": ""Point""}","Modification on the 26.03.2025, the English name of the station has been changed from ""Harun Ar Rashid Rd."" to ""Harun Ar Rashid Road"".",تعديل بتاريخ 26.03.2025، تم تغيير الاسم الإنجليزي للمحطة من ”Harun Ar Rashid Rd.“ إلى ”Harun Ar Rashid Road“.,59,"24.68608501392891, 46.79601710504106"
50,1A1/4A1,KAFD,المركز المالي,4,1,Elevated,مرتفع,"{""coordinates"": [46.64360617754577, 24.7681786337211], ""type"": ""Point""}",,,63,"24.7681786337211, 46.64360617754577"
82,4C2/6D1,SABIC,سابك,4,3,Shallow Underground,تحت الأرض على عمق ضحل,"{""coordinates"": [46.7097506102494, 24.80723540035193], ""type"": ""Point""}",,,66,"24.80723540035193, 46.7097506102494"
75,4E 1,PNU2,جامعة الأميرة نورة 2,4,1,Elevated,مرتفع,"{""coordinates"": [46.70431707873432, 24.85983420999368], ""type"": ""Point""}","Modification on the 26.03.2025, the English name of the station has been changed from ""Princess Nourah University 2"" to ""PNU2"".",تعديل في 26.03.2025، تم تغيير اسم المحطة باللغة الإنجليزية من ”Princess Nourah University 2“ إلى ”PNU2“.,68,"24.85983420999368, 46.70431707873432"
93,4G1,Airport  T5,الصالة 5,4,1,Elevated,مرتفع,"{""coordinates"": [46.70826370485601, 24.94295453599951], ""type"": ""Point""}","Modification on 26.03.2025, the English name of the station has been changed from ""Terminal 5"" to ""Airport T5"".","تعديل بتاريخ 26.03.2025، تم تغيير الاسم الإنجليزي للمحطة من ""Terminal 5"" إلى ""Airport T5"".",69,"24.94295453599951, 46.70826370485601"
91,4G2,Airport  T3-4,الصالة 3-4,4,1,Elevated,مرتفع,"{""coordinates"": [46.70322082727486, 24.95629864361232], ""type"": ""Point""}","Modification on 26.03.2025, the English name of the station has been changed from ""Terminal 3-4"" to ""Airport T3-4"".","تعديل بتاريخ 26.03.2025، تم تغيير الاسم الإنجليزي للمحطة من ""Terminal 3-4"" إلى ""Airport T3-4"".",70,"24.95629864361232, 46.70322082727486"
1,5B3,Abu Dhabi square,ميدان أبو ظبي,5,4,Deep Underground,تحت الأرض على عمق كبير,"{""coordinates"": [46.71634234922706, 24.70611607029804], ""type"": ""Point""}",,,79,"24.70611607029804, 46.71634234922706"
84,5C2,King Salman Park,حديقة الملك سلمان,5,4,Deep Underground,تحت الأرض على عمق كبير,"{""coordinates"": [46.7010605218833, 24.72833810456862], ""type"": ""Point""}",,,82,"24.72833810456862, 46.7010605218833"
83,4C2/6D1,SABIC,سابك,6,3,Shallow Underground,تحت الأرض على عمق ضحل,"{""coordinates"": [46.70959638581176, 24.80735674485716], ""type"": ""Point""}",,,87,"24.80735674485716, 46.70959638581176"
25,6E 1,Al Yarmuk,اليرموك,6,1,Elevated,مرتفع,"{""coordinates"": [46.76642231187255, 24.79102722793817], ""type"": ""Point""}",,,89,"24.79102722793817, 46.76642231187255"
