Index,Metro line number,Metro line name,اسم خط المترو,Metro line color code,Geographical coordinates,geo_point_2d
1,Metro 1,Metro Line 1 - Olaya-Batha-Al Hayer Road,مسار القطار الأول - محور العليا - البطحاء,#00ade5,"{""coordinates"": [[46.76822349626912, 24.55356973636459], [46.76879566653055, 24.55388528538387], [46.77197516392816, 24.55553661192993], [46.77700695691253, 24.55824022241296], [46.76984068933075, 24.57158880668915], [46.76551823359243, 24.57956951413502], [46.76246462461991, 24.58398959747245], [46.76043385448895, 24.58791495972623], [46.75639802808643, 24.59570640292517], [46.74810231453566, 24.59200142004705], [46.74502319256289, 24.59841265451528], [46.73911501275062, 24.59951402857458], [46.73527442624199, 24.60112960953416], [46.72770687044224, 24.61040367027624], [46.72752042842634, 24.61066809436014], [46.72512587783886, 24.61820369081552], [46.72369043257285, 24.6217973095474], [46.72165634279673, 24.62496731835132], [46.71961947883025, 24.62643515269738], [46.71615425569974, 24.62863285716944], [46.71541272795542, 24.63248329087341], [46.7151096672097, 24.63825383744486], [46.71416400788928, 24.64608067353343], [46.71058809856674, 24.65476894844163], [46.70576043042177, 24.65796925707852], [46.70419721595011, 24.65872051147413], [46.70274113868928, 24.66412897632081], [46.70164391405585, 24.66715343882635], [46.69873850942175, 24.66980654918021], [46.69596025722345, 24.67250030779758], [46.67916343268281, 24.70611598367267], [46.67123486012783, 24.72156370111309], [46.66671946783751, 24.72691081421238], [46.66342625019606, 24.73689023596451], [46.65048477492462, 24.76223440630194], [46.64584765078583, 24.76431922610513], [46.64008647888618, 24.77432475276919], [46.6420124643226, 24.77800407759318], [46.61530327926547, 24.83658998726106]], ""type"": ""LineString""}","24.686601882649303, 46.69337763238301"
2,Metro 2,Metro Line 2 - Abdula Rahman bin Ouf- Shaikh Hassan,مسار القطار الثاني - محور طريق الملك عبدالله,#f0493a,"{""coordinates"": [[46.62355591027364, 24.70385524876092], [46.63228617455014, 24.71395730812206], [46.65464536432804, 24.7234854478127], [46.66690176495207, 24.72681435160884], [46.67081692788271, 24.7299002398089], [46.67736238842203, 24.7332446899951], [46.73938125722047, 24.75940473135859], [46.76027688787511, 24.76813732010333], [46.77211452781669, 24.77301859453779], [46.77661603958149, 24.77642875684541], [46.7837842398077, 24.77817342344638], [46.78463007154628, 24.77817785479378], [46.79169035641266, 24.77970240986243], [46.8034154108013, 24.78751409783885], [46.8192471637184, 24.7962934319089], [46.82739625021436, 24.80125319618189], [46.83437862806039, 24.79170349227878], [46.84116653676387, 24.79493469561026]], ""type"": ""LineString""}","24.756489281685326, 46.73323295323268"
3,Metro 3,Metro Line 3 - Madina Al Munawra- Amir Saad,مسار القطار  الثالث - طريق  المدينة المنورة,#f68d39,"{""coordinates"": [[46.5455719765895, 24.59365744677783], [46.54339560795719, 24.59133631117406], [46.54110582753058, 24.58839773103468], [46.54152073969717, 24.58701214174786], [46.57733120368679, 24.58397211596677], [46.5803634900492, 24.58383418557277], [46.58352296852237, 24.58426615131097], [46.58622722420593, 24.58598438442953], [46.59447403384979, 24.57433039390395], [46.59530317160366, 24.57285432417689], [46.6016232930598, 24.57453325336465], [46.60602038491137, 24.57764495783034], [46.65278025954648, 24.60645497177526], [46.66343376772758, 24.61256667784627], [46.66701310479544, 24.61379114139357], [46.67144817587077, 24.61404250355228], [46.67492382230407, 24.61362381949759], [46.67850775623739, 24.61285388530109], [46.68162672297635, 24.61334223773461], [46.68454887150863, 24.61421745533952], [46.6874649182552, 24.61528333526211], [46.6935456138489, 24.6174701902497], [46.69909461913233, 24.61874986850237], [46.70596446221747, 24.62282305851386], [46.71242873280023, 24.6269863867485], [46.71608016558986, 24.62856528837589], [46.71619487962771, 24.62864790171149], [46.71850523069031, 24.63009756301851], [46.72207932639572, 24.63240660903714], [46.72696530106549, 24.63479773703623], [46.73651377946733, 24.63986767609252], [46.73943827725481, 24.64523790073476], [46.74112887490742, 24.6492666617075], [46.74145671931744, 24.65025212949961], [46.74196991136144, 24.65106247153997], [46.74325504557888, 24.652110638192], [46.74435607674405, 24.65329514875893], [46.74476800074501, 24.66017208869309], [46.74743092707004, 24.66416608610311], [46.75000030267622, 24.66829928043649], [46.75525028812049, 24.67086474592224], [46.76117215930222, 24.67348219957071], [46.77763277234128, 24.67990523807532], [46.79135570208235, 24.68413224730017], [46.79540307681751, 24.68581078771173], [46.79880612763149, 24.68742583364748], [46.81061086549427, 24.69335240259801], [46.81996347161913, 24.69690245535392], [46.82690198828963, 24.69988658549485], [46.85788046584535, 24.71937117022511], [46.85887843629594, 24.7212607117208], [46.86109572632501, 24.7231964061784]], ""type"": ""LineString""}","24.634961438743513, 46.70016472592429"
4,Metro 4,Metro Line 4 - Airport Road,مسار القطار  الرابع - طريق المطار,#ffd105,"{""coordinates"": [[46.64257570250541, 24.77053455791448], [46.64078717400308, 24.77419119546218], [46.64288878784487, 24.77806530940604], [46.65969945856693, 24.7858492274934], [46.71404470151793, 24.80842771752917], [46.71381157483502, 24.81332937748627], [46.71582020225012, 24.81956916362433], [46.72018893398981, 24.82643648915296], [46.72323625564203, 24.82960152209221], [46.71314140931419, 24.84641884201608], [46.70266164092568, 24.86338438463645], [46.6951477096223, 24.87339062579133], [46.69500959286474, 24.88649484116954], [46.69836597698413, 24.89609066017655], [46.70433894838028, 24.90065518313715], [46.71191863122151, 24.90532618895733], [46.72005283449888, 24.90901688748907], [46.7231898478764, 24.91289631693646], [46.7227502520397, 24.91906859883721], [46.71602988797375, 24.929843377458], [46.70670780285414, 24.94632590903257], [46.68144513663087, 24.98669295321807]], ""type"": ""LineString""}","24.867888229666036, 46.6976610509278"
5,Metro 5,Metro Line 5 - King Abdul Aziz Road,مسار القطار  الخامس - طريق الملك عبدالعزيز,#43b649,"{""coordinates"": [[46.71140796619816, 24.64410821403603], [46.71400710873522, 24.64579636709882], [46.71505577920256, 24.6470405446446], [46.71769497029245, 24.65888251373291], [46.71812521484238, 24.66701205274626], [46.71840085768577, 24.67704454953148], [46.71821221498944, 24.69336929180285], [46.71760401837837, 24.70491363560983], [46.71541599179212, 24.70708645909403], [46.70835161710125, 24.70954349574932], [46.69907629118097, 24.71337059488976], [46.69823405347595, 24.71452293653982], [46.69812113740149, 24.71619848516201], [46.69959106228719, 24.71866108367318], [46.70332893297114, 24.7245032522337], [46.70309410671633, 24.72615117419329], [46.70112463085563, 24.72838641851539], [46.69937509550655, 24.72964492049064], [46.69740136744171, 24.7316779333723], [46.6934085991141, 24.74016480271968]], ""type"": ""LineString""}","24.694702506237427, 46.710742490932276"
6,Metro 6,Metro Line 6 - Abdula Rahman bin Ouf- Shaikh Hassan,مسار القطار  السادس - طريق عبد الرحمن بن عوف - طريق أبى جعفر المنصور,#984c9d,"{""coordinates"": [[46.82871616950186, 24.69955187092181], [46.81076621606438, 24.72344804914582], [46.80006029957724, 24.7380784855145], [46.80005488935336, 24.73997489324137], [46.79929737049346, 24.74261616472], [46.79756306763816, 24.74685298541889], [46.78944826101216, 24.7584066576249], [46.77404736498502, 24.78030130102297], [46.7665977883964, 24.7905878371703], [46.7615486669318, 24.79982909181828], [46.73032506726896, 24.78695171624218], [46.72620955987551, 24.78519648226469], [46.71447786559887, 24.80747959836054], [46.64985398164791, 24.78044958913938], [46.64320956120794, 24.7771644944015], [46.64158158413469, 24.77407768554182], [46.64267051137757, 24.77071866230857]], ""type"": ""LineString""}","24.772909112111176, 46.743152355875665"
